Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet,longHT_shortLT
1/9/2015,-0.010596626,-0.00545899,-0.008399958,0.005137636
1/12/2015,-0.009377112,-0.006206204,-0.00809201,0.003170908
1/13/2015,-0.00112049,-0.002239979,-0.002478898,-0.001119489
1/14/2015,-0.008267752,0.005148294,-0.005782281,0.013416046
1/15/2015,-0.009114073,-0.003396655,-0.009221868,0.005717418
1/16/2015,0.012054713,0.01194021,0.013435632,-0.000114503
1/20/2015,0.00230401,-8.60E-05,0.001581171,-0.00239006
1/21/2015,0.004958383,0.003957895,0.004852063,-0.001000488
1/22/2015,0.015405464,0.007812047,0.015278143,-0.007593417
1/23/2015,-0.004774368,-0.003391252,-0.005488677,0.001383116
1/26/2015,0.007112887,0.003066894,0.002577292,-0.004045993
1/27/2015,-0.008982562,-0.008396866,-0.013386568,0.000585696
1/28/2015,-0.01439239,-0.015208257,-0.013414933,-0.000815867
1/29/2015,0.012182765,0.006798013,0.009607261,-0.005384752
1/30/2015,-0.015508992,-0.008915068,-0.012976636,0.006593924
2/2/2015,0.012657269,0.012835817,0.012988611,0.000178548
2/3/2015,0.019240662,0.025006858,0.014463641,0.005766196
2/4/2015,-0.001793084,-0.008245812,-0.003859113,-0.006452728
2/5/2015,0.003760283,0.011574849,0.010492033,0.007814566
2/6/2015,0.001110445,-0.014456327,-0.003149036,-0.015566772
2/9/2015,-0.004065485,-0.003951552,-0.004201369,0.000113933
2/10/2015,0.011838294,0.012936366,0.010723532,0.001098072
2/11/2015,0.001509687,-0.004226202,0.000316237,-0.005735889
2/12/2015,0.010853739,0.008499129,0.009887192,-0.00235461
2/13/2015,0.007157028,-0.001036377,0.004158243,-0.008193405
2/17/2015,0.004300602,-0.000697748,0.00175357,-0.00499835
2/18/2015,-0.006124439,-0.001245659,-0.000269707,0.00487878
2/19/2015,0.000734781,-0.004692248,-0.00090013,-0.005427029
2/20/2015,0.007162125,0.000668709,0.006249464,-0.006493416
2/23/2015,7.28E-05,3.76E-05,-0.000294148,-3.51886E-05
2/24/2015,-0.000578562,0.001778121,0.002790066,0.002356683
2/25/2015,-0.001519261,-0.00657106,-0.000597127,-0.005051799
2/26/2015,-0.005426934,-0.008350954,-0.001313434,-0.00292402
2/27/2015,-0.002706546,0.002269214,-0.00294751,0.00497576
3/2/2015,0.009582502,0.004265899,0.006181429,-0.005316603
3/3/2015,-0.009917943,-0.002462312,-0.00452662,0.007455631
3/4/2015,-0.004013531,-0.00683864,-0.004183117,-0.002825109
3/5/2015,0.002800538,0.002756328,0.001239463,-4.421E-05
3/6/2015,-0.018028878,-0.017964726,-0.014049709,6.4152E-05
3/9/2015,0.005863732,0.003768681,0.004039884,-0.002095051
3/10/2015,-0.018413876,-0.013672026,-0.016897672,0.00474185
3/11/2015,0.000294536,-0.002717539,-0.001764316,-0.003012075
3/12/2015,0.016919133,0.01766962,0.012857219,0.000750487
3/13/2015,-0.005689717,-0.004342135,-0.006050908,0.001347582
3/16/2015,0.011824138,0.013056888,0.013552446,0.00123275
3/17/2015,-0.007474307,-0.002796504,-0.003320601,0.004677803
3/18/2015,0.013729654,0.016061632,0.012183774,0.002331978
3/19/2015,-0.005470104,-0.006495162,-0.004860944,-0.001025058
3/20/2015,0.010327409,0.012451725,0.009014683,0.002124316
3/23/2015,-0.005724508,0.004192263,-0.001746078,0.009916771
3/24/2015,-0.001480954,-0.012516688,-0.006056081,-0.011035734
3/25/2015,-0.0088132,-0.012087542,-0.014535813,-0.003274342
3/26/2015,-0.002395063,0.000405279,-0.00235286,0.002800342
3/27/2015,0.003585943,0.004905256,0.002561994,0.001319313
3/30/2015,0.012606024,0.013431835,0.012328912,0.000825811
3/31/2015,-0.006948801,-0.003046255,-0.008695765,0.003902546
4/1/2015,0.001962459,-0.005114684,-0.003839412,-0.007077143
4/2/2015,0.009371224,0.005639911,0.003556109,-0.003731313
4/6/2015,0.00726725,0.010127455,0.006616476,0.002860205
4/7/2015,-0.007065085,-0.005062974,-0.002042143,0.002002111
4/8/2015,0.004634296,-0.003841923,0.00306425,-0.008476219
4/9/2015,0.009283594,0.002152291,0.004458416,-0.007131303
4/10/2015,0.001664352,0.004647144,0.005199608,0.002982792
4/13/2015,-0.004866631,-0.004492745,-0.004490596,0.000373886
4/14/2015,-0.001004578,0.008227493,0.001632524,0.009232071
4/15/2015,0.004021218,0.008632497,0.0051513,0.004611279
4/16/2015,-0.004567916,-0.005500742,-0.00075533,-0.000932826
4/17/2015,-0.011910021,-0.006056025,-0.011310133,0.005853996
4/20/2015,0.00616515,0.010672361,0.009260685,0.004507211
4/21/2015,0.001891067,-0.006237717,-0.001465942,-0.008128784
4/22/2015,0.004545823,0.002226645,0.0051215,-0.002319178
4/23/2015,0.001120396,0.006118015,0.002454964,0.004997619
4/24/2015,-3.22E-05,0.000976934,0.002256223,0.001009099
4/27/2015,-0.006399627,-0.001864114,-0.004138207,0.004535513
4/28/2015,-0.002512613,0.005889484,0.002860379,0.008402097
4/29/2015,-0.001885313,-0.005254916,-0.003673743,-0.003369603
4/30/2015,-0.009660236,-0.010332752,-0.010080136,-0.000672516
5/1/2015,0.010553715,0.007346586,0.010924623,-0.003207129
5/4/2015,0.004342747,-0.001830295,0.002937882,-0.006173042
5/5/2015,-0.010105425,-0.01301476,-0.011745346,-0.002909335
5/6/2015,-0.001676665,-0.004086219,-0.004081145,-0.002409554
5/7/2015,0.002693935,0.003478179,0.004024832,0.000784244
5/8/2015,0.009488737,0.012032778,0.01347837,0.002544041
5/11/2015,-0.003775686,-0.009008809,-0.004891041,-0.005233123
5/12/2015,-0.002740437,-0.001009639,-0.002895467,0.001730798
5/13/2015,-0.002242294,-0.000905352,-8.53E-05,0.001336942
5/14/2015,0.006432983,0.00880672,0.010893044,0.002373737
5/15/2015,0.002802575,0.004558013,0.000886896,0.001755438
