Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2015-04-06,0.00726725,0.010127455,0.006616476
2015-04-07,-0.007065085,-0.005062974,-0.002042143
2015-04-08,0.004634296,-0.003841923,0.00306425
2015-04-09,0.009283594,0.002152291,0.004458416
2015-04-10,0.001664352,0.004647144,0.005199608
2015-04-13,-0.004866631,-0.004492745,-0.004490596
2015-04-14,-0.001004578,0.008227493,0.001632524
2015-04-15,0.004021218,0.008632497,0.0051513
2015-04-16,-0.004567916,-0.005500742,-0.00075533
2015-04-17,-0.011910021,-0.006056025,-0.011310133
2015-04-20,0.00616515,0.010672361,0.009260685
2015-04-21,0.001891067,-0.006237717,-0.001465942
2015-04-22,0.004545823,0.002226645,0.0051215
2015-04-23,0.001120396,0.006118015,0.002454964
2015-04-24,-3.21651E-05,0.000976934,0.002256223
2015-04-27,-0.006399627,-0.001864114,-0.004138207
2015-04-28,-0.002512613,0.005889484,0.002860379
2015-04-29,-0.001885313,-0.005254916,-0.003673743
2015-04-30,-0.009660236,-0.010332752,-0.010080136
2015-05-01,0.010553715,0.007346586,0.010924623
2015-05-04,0.004342747,-0.001830295,0.002937882
2015-05-05,-0.010105425,-0.01301476,-0.011745346
2015-05-06,-0.001676665,-0.004086219,-0.004081145
2015-05-07,0.002693935,0.003478179,0.004024832
2015-05-08,0.009488737,0.012032778,0.01347837
2015-05-11,-0.003775686,-0.009008809,-0.004891041
2015-05-12,-0.002740437,-0.001009639,-0.002895467
2015-05-13,-0.002242294,-0.000905352,-8.52561E-05
2015-05-14,0.006432983,0.00880672,0.010893044
2015-05-15,0.002802575,0.004558013,0.000886896
2015-05-18,0.002493318,-0.001406209,0.003105217
2015-05-19,-0.002701405,-0.001267427,-0.000442957
2015-05-20,0.00094559,0.001113185,-0.000822634
2015-05-21,0.003161365,0.000981609,0.002477582
2015-05-22,-0.001715918,-0.001468491,-0.002222279
2015-05-26,-0.011984782,-0.007776027,-0.010264617
2015-05-27,0.010079183,0.006800586,0.009328301
2015-05-28,0.000495126,0.000229855,-0.001094357
2015-05-29,-0.007931323,-0.006705977,-0.006292424
2015-06-01,-0.000215827,0.004090886,0.002161298
2015-06-02,-0.001077024,-0.004892432,-0.000959075
2015-06-03,0.003163721,-0.004046445,0.002305017
2015-06-04,-0.010397383,-0.005274769,-0.008604728
2015-06-05,-0.000848435,-0.010056639,-0.001394905
2015-06-08,-0.004943055,-0.003555052,-0.006306537
2015-06-09,-0.0005498,-0.001883035,0.000445144
2015-06-10,0.012469853,0.010369087,0.012109826
